Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumBefolkning
A,2004,0 - 4,Kvinne,Hele landet,127042
A,2004,0 - 4,Kvinne,Helseregion Midt-Norge,17566
A,2004,0 - 4,Kvinne,Helseregion Nord-Norge,12176
A,2004,0 - 4,Kvinne,Helseregion Sør-Øst,68910
A,2004,0 - 4,Kvinne,Helseregion Vest,28390
A,2004,0 - 4,Kvinne,Akershus,14596
A,2004,0 - 4,Kvinne,Aust-Agder,2632
A,2004,0 - 4,Kvinne,Buskerud,6345
A,2004,0 - 4,Kvinne,Finnmark,2097
A,2004,0 - 4,Kvinne,Hedmark,4440
A,2004,0 - 4,Kvinne,Hordaland,13160
A,2004,0 - 4,Kvinne,Møre og Romsdal,6618
A,2004,0 - 4,Kvinne,Nordland,5938
A,2004,0 - 4,Kvinne,Oppland,4490
A,2004,0 - 4,Kvinne,Oslo,15794
A,2004,0 - 4,Kvinne,Rogaland,12218
A,2004,0 - 4,Kvinne,Sogn og Fjordane,3012
A,2004,0 - 4,Kvinne,Telemark,4079
A,2004,0 - 4,Kvinne,Troms,4141
A,2004,0 - 4,Kvinne,Trøndelag,10948
A,2004,0 - 4,Kvinne,Vest-Agder,4512
A,2004,0 - 4,Kvinne,Vestfold,5426
A,2004,0 - 4,Kvinne,Østfold,6596
A,2004,0 - 4,Mann,Hele landet,132818
A,2004,0 - 4,Mann,Helseregion Midt-Norge,18584
A,2004,0 - 4,Mann,Helseregion Nord-Norge,12775
A,2004,0 - 4,Mann,Helseregion Sør-Øst,72108
A,2004,0 - 4,Mann,Helseregion Vest,29351
A,2004,0 - 4,Mann,Akershus,15220
A,2004,0 - 4,Mann,Aust-Agder,2777
A,2004,0 - 4,Mann,Buskerud,6708
A,2004,0 - 4,Mann,Finnmark,2184
A,2004,0 - 4,Mann,Hedmark,4586
A,2004,0 - 4,Mann,Hordaland,13636
A,2004,0 - 4,Mann,Møre og Romsdal,6990
A,2004,0 - 4,Mann,Nordland,6263
A,2004,0 - 4,Mann,Oppland,4597
A,2004,0 - 4,Mann,Oslo,16379
A,2004,0 - 4,Mann,Rogaland,12595
A,2004,0 - 4,Mann,Sogn og Fjordane,3120
A,2004,0 - 4,Mann,Telemark,4232
A,2004,0 - 4,Mann,Troms,4328
A,2004,0 - 4,Mann,Trøndelag,11595
A,2004,0 - 4,Mann,Vest-Agder,4691
A,2004,0 - 4,Mann,Vestfold,5885
A,2004,0 - 4,Mann,Østfold,7033
A,2004,5 - 9,Kvinne,Hele landet,149171
A,2004,5 - 9,Kvinne,Helseregion Midt-Norge,21208
A,2004,5 - 9,Kvinne,Helseregion Nord-Norge,15358
A,2004,5 - 9,Kvinne,Helseregion Sør-Øst,79336
A,2004,5 - 9,Kvinne,Helseregion Vest,33270
A,2004,5 - 9,Kvinne,Akershus,17496
A,2004,5 - 9,Kvinne,Aust-Agder,3421
A,2004,5 - 9,Kvinne,Buskerud,7618
A,2004,5 - 9,Kvinne,Finnmark,2514
A,2004,5 - 9,Kvinne,Hedmark,5496
A,2004,5 - 9,Kvinne,Hordaland,15200
A,2004,5 - 9,Kvinne,Møre og Romsdal,8052
A,2004,5 - 9,Kvinne,Nordland,7830
A,2004,5 - 9,Kvinne,Oppland,5528
A,2004,5 - 9,Kvinne,Oslo,13776
A,2004,5 - 9,Kvinne,Rogaland,14450
A,2004,5 - 9,Kvinne,Sogn og Fjordane,3620
A,2004,5 - 9,Kvinne,Telemark,5119
A,2004,5 - 9,Kvinne,Troms,5014
A,2004,5 - 9,Kvinne,Trøndelag,13155
A,2004,5 - 9,Kvinne,Vest-Agder,5705
A,2004,5 - 9,Kvinne,Vestfold,7044
A,2004,5 - 9,Kvinne,Østfold,8133
A,2004,5 - 9,Mann,Hele landet,157340
A,2004,5 - 9,Mann,Helseregion Midt-Norge,22362
A,2004,5 - 9,Mann,Helseregion Nord-Norge,16338
A,2004,5 - 9,Mann,Helseregion Sør-Øst,83818
A,2004,5 - 9,Mann,Helseregion Vest,34822
A,2004,5 - 9,Mann,Akershus,18506
A,2004,5 - 9,Mann,Aust-Agder,3651
A,2004,5 - 9,Mann,Buskerud,8046
A,2004,5 - 9,Mann,Finnmark,2694
A,2004,5 - 9,Mann,Hedmark,6012
A,2004,5 - 9,Mann,Hordaland,15804
A,2004,5 - 9,Mann,Møre og Romsdal,8494
A,2004,5 - 9,Mann,Nordland,8202
