Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
N03AX09,2004,0 - 4,Kvinne,Hele landet,44
N03AX09,2004,0 - 4,Kvinne,Helseregion Midt-Norge,
N03AX09,2004,0 - 4,Kvinne,Helseregion Nord-Norge,
N03AX09,2004,0 - 4,Kvinne,Helseregion Sør-Øst,24
N03AX09,2004,0 - 4,Kvinne,Helseregion Vest,12
N03AX09,2004,0 - 4,Kvinne,Akershus,6
N03AX09,2004,0 - 4,Kvinne,Aust-Agder,0
N03AX09,2004,0 - 4,Kvinne,Buskerud,0
N03AX09,2004,0 - 4,Kvinne,Finnmark,0
N03AX09,2004,0 - 4,Kvinne,Hedmark,
N03AX09,2004,0 - 4,Kvinne,Hordaland,7
N03AX09,2004,0 - 4,Kvinne,Møre og Romsdal,
N03AX09,2004,0 - 4,Kvinne,Nordland,0
N03AX09,2004,0 - 4,Kvinne,Oppland,
N03AX09,2004,0 - 4,Kvinne,Oslo,5
N03AX09,2004,0 - 4,Kvinne,Rogaland,
N03AX09,2004,0 - 4,Kvinne,Sogn og Fjordane,
N03AX09,2004,0 - 4,Kvinne,Telemark,
N03AX09,2004,0 - 4,Kvinne,Troms,
N03AX09,2004,0 - 4,Kvinne,Trøndelag,
N03AX09,2004,0 - 4,Kvinne,Vest-Agder,
N03AX09,2004,0 - 4,Kvinne,Vestfold,
N03AX09,2004,0 - 4,Kvinne,Østfold,
N03AX09,2004,0 - 4,Mann,Hele landet,38
N03AX09,2004,0 - 4,Mann,Helseregion Midt-Norge,9
N03AX09,2004,0 - 4,Mann,Helseregion Nord-Norge,
N03AX09,2004,0 - 4,Mann,Helseregion Sør-Øst,19
N03AX09,2004,0 - 4,Mann,Helseregion Vest,7
N03AX09,2004,0 - 4,Mann,Akershus,
N03AX09,2004,0 - 4,Mann,Aust-Agder,0
N03AX09,2004,0 - 4,Mann,Buskerud,0
N03AX09,2004,0 - 4,Mann,Finnmark,0
N03AX09,2004,0 - 4,Mann,Hedmark,
N03AX09,2004,0 - 4,Mann,Hordaland,5
N03AX09,2004,0 - 4,Mann,Møre og Romsdal,
N03AX09,2004,0 - 4,Mann,Nordland,
N03AX09,2004,0 - 4,Mann,Oppland,
N03AX09,2004,0 - 4,Mann,Oslo,
N03AX09,2004,0 - 4,Mann,Rogaland,
N03AX09,2004,0 - 4,Mann,Sogn og Fjordane,
N03AX09,2004,0 - 4,Mann,Telemark,
N03AX09,2004,0 - 4,Mann,Troms,
N03AX09,2004,0 - 4,Mann,Trøndelag,7
N03AX09,2004,0 - 4,Mann,Vest-Agder,
N03AX09,2004,0 - 4,Mann,Vestfold,
N03AX09,2004,0 - 4,Mann,Østfold,
N03AX09,2004,5 - 9,Kvinne,Hele landet,176
N03AX09,2004,5 - 9,Kvinne,Helseregion Midt-Norge,25
N03AX09,2004,5 - 9,Kvinne,Helseregion Nord-Norge,13
N03AX09,2004,5 - 9,Kvinne,Helseregion Sør-Øst,92
N03AX09,2004,5 - 9,Kvinne,Helseregion Vest,46
N03AX09,2004,5 - 9,Kvinne,Akershus,19
N03AX09,2004,5 - 9,Kvinne,Aust-Agder,8
N03AX09,2004,5 - 9,Kvinne,Buskerud,6
N03AX09,2004,5 - 9,Kvinne,Finnmark,
N03AX09,2004,5 - 9,Kvinne,Hedmark,6
N03AX09,2004,5 - 9,Kvinne,Hordaland,22
N03AX09,2004,5 - 9,Kvinne,Møre og Romsdal,9
N03AX09,2004,5 - 9,Kvinne,Nordland,7
N03AX09,2004,5 - 9,Kvinne,Oppland,8
N03AX09,2004,5 - 9,Kvinne,Oslo,14
N03AX09,2004,5 - 9,Kvinne,Rogaland,20
N03AX09,2004,5 - 9,Kvinne,Sogn og Fjordane,
