Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R,2004,0 - 4,Kvinne,Hele landet,30527
R,2004,0 - 4,Kvinne,Helseregion Midt-Norge,3922
R,2004,0 - 4,Kvinne,Helseregion Nord-Norge,2326
R,2004,0 - 4,Kvinne,Helseregion Sør-Øst,17510
R,2004,0 - 4,Kvinne,Helseregion Vest,6769
R,2004,0 - 4,Kvinne,Akershus,3853
R,2004,0 - 4,Kvinne,Aust-Agder,559
R,2004,0 - 4,Kvinne,Buskerud,1532
R,2004,0 - 4,Kvinne,Finnmark,439
R,2004,0 - 4,Kvinne,Hedmark,1065
R,2004,0 - 4,Kvinne,Hordaland,3520
R,2004,0 - 4,Kvinne,Møre og Romsdal,1709
R,2004,0 - 4,Kvinne,Nordland,1067
R,2004,0 - 4,Kvinne,Oppland,928
R,2004,0 - 4,Kvinne,Oslo,4455
R,2004,0 - 4,Kvinne,Rogaland,2460
R,2004,0 - 4,Kvinne,Sogn og Fjordane,789
R,2004,0 - 4,Kvinne,Telemark,1035
R,2004,0 - 4,Kvinne,Troms,820
R,2004,0 - 4,Kvinne,Trøndelag,2213
R,2004,0 - 4,Kvinne,Vest-Agder,1159
R,2004,0 - 4,Kvinne,Vestfold,1405
R,2004,0 - 4,Kvinne,Østfold,1519
R,2004,0 - 4,Mann,Hele landet,38335
R,2004,0 - 4,Mann,Helseregion Midt-Norge,5068
R,2004,0 - 4,Mann,Helseregion Nord-Norge,2976
R,2004,0 - 4,Mann,Helseregion Sør-Øst,21916
R,2004,0 - 4,Mann,Helseregion Vest,8375
R,2004,0 - 4,Mann,Akershus,4819
R,2004,0 - 4,Mann,Aust-Agder,713
R,2004,0 - 4,Mann,Buskerud,1983
R,2004,0 - 4,Mann,Finnmark,512
R,2004,0 - 4,Mann,Hedmark,1332
R,2004,0 - 4,Mann,Hordaland,4292
R,2004,0 - 4,Mann,Møre og Romsdal,2104
R,2004,0 - 4,Mann,Nordland,1407
