Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R03,2004,0 - 4,Kvinne,Hele landet,22009
R03,2004,0 - 4,Kvinne,Helseregion Midt-Norge,2880
R03,2004,0 - 4,Kvinne,Helseregion Nord-Norge,1595
R03,2004,0 - 4,Kvinne,Helseregion Sør-Øst,12549
R03,2004,0 - 4,Kvinne,Helseregion Vest,4985
R03,2004,0 - 4,Kvinne,Akershus,2709
R03,2004,0 - 4,Kvinne,Aust-Agder,427
R03,2004,0 - 4,Kvinne,Buskerud,1051
R03,2004,0 - 4,Kvinne,Finnmark,277
R03,2004,0 - 4,Kvinne,Hedmark,752
R03,2004,0 - 4,Kvinne,Hordaland,2725
R03,2004,0 - 4,Kvinne,Møre og Romsdal,1312
R03,2004,0 - 4,Kvinne,Nordland,739
R03,2004,0 - 4,Kvinne,Oppland,608
R03,2004,0 - 4,Kvinne,Oslo,3224
R03,2004,0 - 4,Kvinne,Rogaland,1653
R03,2004,0 - 4,Kvinne,Sogn og Fjordane,607
R03,2004,0 - 4,Kvinne,Telemark,760
R03,2004,0 - 4,Kvinne,Troms,579
R03,2004,0 - 4,Kvinne,Trøndelag,1568
R03,2004,0 - 4,Kvinne,Vest-Agder,895
R03,2004,0 - 4,Kvinne,Vestfold,1033
R03,2004,0 - 4,Kvinne,Østfold,1090
R03,2004,0 - 4,Mann,Hele landet,28854
R03,2004,0 - 4,Mann,Helseregion Midt-Norge,3875
R03,2004,0 - 4,Mann,Helseregion Nord-Norge,2208
R03,2004,0 - 4,Mann,Helseregion Sør-Øst,16457
R03,2004,0 - 4,Mann,Helseregion Vest,6314
R03,2004,0 - 4,Mann,Akershus,3637
R03,2004,0 - 4,Mann,Aust-Agder,545
R03,2004,0 - 4,Mann,Buskerud,1454
R03,2004,0 - 4,Mann,Finnmark,368
R03,2004,0 - 4,Mann,Hedmark,983
R03,2004,0 - 4,Mann,Hordaland,3395
R03,2004,0 - 4,Mann,Møre og Romsdal,1686
R03,2004,0 - 4,Mann,Nordland,1033
