Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumBefolkning
R03A,2004,0 - 4,Kvinne,Hele landet,127042
R03A,2004,0 - 4,Kvinne,Helseregion Midt-Norge,17566
R03A,2004,0 - 4,Kvinne,Helseregion Nord-Norge,12176
R03A,2004,0 - 4,Kvinne,Helseregion Sør-Øst,68910
R03A,2004,0 - 4,Kvinne,Helseregion Vest,28390
R03A,2004,0 - 4,Kvinne,Akershus,14596
R03A,2004,0 - 4,Kvinne,Aust-Agder,2632
R03A,2004,0 - 4,Kvinne,Buskerud,6345
R03A,2004,0 - 4,Kvinne,Finnmark,2097
R03A,2004,0 - 4,Kvinne,Hedmark,4440
R03A,2004,0 - 4,Kvinne,Hordaland,13160
R03A,2004,0 - 4,Kvinne,Møre og Romsdal,6618
R03A,2004,0 - 4,Kvinne,Nordland,5938
R03A,2004,0 - 4,Kvinne,Oppland,4490
R03A,2004,0 - 4,Kvinne,Oslo,15794
R03A,2004,0 - 4,Kvinne,Rogaland,12218
R03A,2004,0 - 4,Kvinne,Sogn og Fjordane,3012
R03A,2004,0 - 4,Kvinne,Telemark,4079
R03A,2004,0 - 4,Kvinne,Troms,4141
R03A,2004,0 - 4,Kvinne,Trøndelag,10948
R03A,2004,0 - 4,Kvinne,Vest-Agder,4512
R03A,2004,0 - 4,Kvinne,Vestfold,5426
R03A,2004,0 - 4,Kvinne,Østfold,6596
R03A,2004,0 - 4,Mann,Hele landet,132818
R03A,2004,0 - 4,Mann,Helseregion Midt-Norge,18584
R03A,2004,0 - 4,Mann,Helseregion Nord-Norge,12775
R03A,2004,0 - 4,Mann,Helseregion Sør-Øst,72108
R03A,2004,0 - 4,Mann,Helseregion Vest,29351
R03A,2004,0 - 4,Mann,Akershus,15220
R03A,2004,0 - 4,Mann,Aust-Agder,2777
R03A,2004,0 - 4,Mann,Buskerud,6708
R03A,2004,0 - 4,Mann,Finnmark,2184
R03A,2004,0 - 4,Mann,Hedmark,4586
R03A,2004,0 - 4,Mann,Hordaland,13636
R03A,2004,0 - 4,Mann,Møre og Romsdal,6990
R03A,2004,0 - 4,Mann,Nordland,6263
R03A,2004,0 - 4,Mann,Oppland,4597
R03A,2004,0 - 4,Mann,Oslo,16379
R03A,2004,0 - 4,Mann,Rogaland,12595
R03A,2004,0 - 4,Mann,Sogn og Fjordane,3120
R03A,2004,0 - 4,Mann,Telemark,4232
R03A,2004,0 - 4,Mann,Troms,4328
R03A,2004,0 - 4,Mann,Trøndelag,11595
R03A,2004,0 - 4,Mann,Vest-Agder,4691
R03A,2004,0 - 4,Mann,Vestfold,5885
R03A,2004,0 - 4,Mann,Østfold,7033
R03A,2004,5 - 9,Kvinne,Hele landet,149171
R03A,2004,5 - 9,Kvinne,Helseregion Midt-Norge,21208
R03A,2004,5 - 9,Kvinne,Helseregion Nord-Norge,15358
R03A,2004,5 - 9,Kvinne,Helseregion Sør-Øst,79336
R03A,2004,5 - 9,Kvinne,Helseregion Vest,33270
R03A,2004,5 - 9,Kvinne,Akershus,17496
R03A,2004,5 - 9,Kvinne,Aust-Agder,3421
R03A,2004,5 - 9,Kvinne,Buskerud,7618
R03A,2004,5 - 9,Kvinne,Finnmark,2514
R03A,2004,5 - 9,Kvinne,Hedmark,5496
R03A,2004,5 - 9,Kvinne,Hordaland,15200
R03A,2004,5 - 9,Kvinne,Møre og Romsdal,8052
R03A,2004,5 - 9,Kvinne,Nordland,7830
R03A,2004,5 - 9,Kvinne,Oppland,5528
R03A,2004,5 - 9,Kvinne,Oslo,13776
R03A,2004,5 - 9,Kvinne,Rogaland,14450
R03A,2004,5 - 9,Kvinne,Sogn og Fjordane,3620
R03A,2004,5 - 9,Kvinne,Telemark,5119
R03A,2004,5 - 9,Kvinne,Troms,5014
R03A,2004,5 - 9,Kvinne,Trøndelag,13155
R03A,2004,5 - 9,Kvinne,Vest-Agder,5705
R03A,2004,5 - 9,Kvinne,Vestfold,7044
R03A,2004,5 - 9,Kvinne,Østfold,8133
R03A,2004,5 - 9,Mann,Hele landet,157340
R03A,2004,5 - 9,Mann,Helseregion Midt-Norge,22362
R03A,2004,5 - 9,Mann,Helseregion Nord-Norge,16338
R03A,2004,5 - 9,Mann,Helseregion Sør-Øst,83818
R03A,2004,5 - 9,Mann,Helseregion Vest,34822
R03A,2004,5 - 9,Mann,Akershus,18506
R03A,2004,5 - 9,Mann,Aust-Agder,3651
R03A,2004,5 - 9,Mann,Buskerud,8046
R03A,2004,5 - 9,Mann,Finnmark,2694
R03A,2004,5 - 9,Mann,Hedmark,6012
R03A,2004,5 - 9,Mann,Hordaland,15804
R03A,2004,5 - 9,Mann,Møre og Romsdal,8494
R03A,2004,5 - 9,Mann,Nordland,8202
R03A,2004,5 - 9,Mann,Oppland,5858
R03A,2004,5 - 9,Mann,Oslo,14688
R03A,2004,5 - 9,Mann,Rogaland,15126
R03A,2004,5 - 9,Mann,Sogn og Fjordane,3892
R03A,2004,5 - 9,Mann,Telemark,5252
R03A,2004,5 - 9,Mann,Troms,5441
R03A,2004,5 - 9,Mann,Trøndelag,13867
R03A,2004,5 - 9,Mann,Vest-Agder,5870
R03A,2004,5 - 9,Mann,Vestfold,7470
R03A,2004,5 - 9,Mann,Østfold,8464
R03A,2004,10 - 14,Kvinne,Hele landet,152104
R03A,2004,10 - 14,Kvinne,Helseregion Midt-Norge,22060
R03A,2004,10 - 14,Kvinne,Helseregion Nord-Norge,15778
R03A,2004,10 - 14,Kvinne,Helseregion Sør-Øst,80722
R03A,2004,10 - 14,Kvinne,Helseregion Vest,33544
R03A,2004,10 - 14,Kvinne,Akershus,17688
R03A,2004,10 - 14,Kvinne,Aust-Agder,3617
R03A,2004,10 - 14,Kvinne,Buskerud,7952
R03A,2004,10 - 14,Kvinne,Finnmark,2582
R03A,2004,10 - 14,Kvinne,Hedmark,6000
R03A,2004,10 - 14,Kvinne,Hordaland,15414
R03A,2004,10 - 14,Kvinne,Møre og Romsdal,8370
R03A,2004,10 - 14,Kvinne,Nordland,8040
R03A,2004,10 - 14,Kvinne,Oppland,5855
R03A,2004,10 - 14,Kvinne,Oslo,12847
R03A,2004,10 - 14,Kvinne,Rogaland,14328
