Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter
R05,2004,0 - 4,Kvinne,Hele landet,4541
R05,2004,0 - 4,Kvinne,Helseregion Midt-Norge,503
R05,2004,0 - 4,Kvinne,Helseregion Nord-Norge,345
R05,2004,0 - 4,Kvinne,Helseregion Sør-Øst,2683
R05,2004,0 - 4,Kvinne,Helseregion Vest,1010
R05,2004,0 - 4,Kvinne,Akershus,577
R05,2004,0 - 4,Kvinne,Aust-Agder,69
R05,2004,0 - 4,Kvinne,Buskerud,268
R05,2004,0 - 4,Kvinne,Finnmark,67
R05,2004,0 - 4,Kvinne,Hedmark,199
R05,2004,0 - 4,Kvinne,Hordaland,482
R05,2004,0 - 4,Kvinne,Møre og Romsdal,209
R05,2004,0 - 4,Kvinne,Nordland,166
R05,2004,0 - 4,Kvinne,Oppland,132
R05,2004,0 - 4,Kvinne,Oslo,675
R05,2004,0 - 4,Kvinne,Rogaland,419
R05,2004,0 - 4,Kvinne,Sogn og Fjordane,109
R05,2004,0 - 4,Kvinne,Telemark,95
R05,2004,0 - 4,Kvinne,Troms,112
R05,2004,0 - 4,Kvinne,Trøndelag,294
R05,2004,0 - 4,Kvinne,Vest-Agder,145
R05,2004,0 - 4,Kvinne,Vestfold,254
R05,2004,0 - 4,Kvinne,Østfold,269
R05,2004,0 - 4,Mann,Hele landet,4994
R05,2004,0 - 4,Mann,Helseregion Midt-Norge,590
R05,2004,0 - 4,Mann,Helseregion Nord-Norge,352
R05,2004,0 - 4,Mann,Helseregion Sør-Øst,2935
R05,2004,0 - 4,Mann,Helseregion Vest,1117
R05,2004,0 - 4,Mann,Akershus,627
R05,2004,0 - 4,Mann,Aust-Agder,73
R05,2004,0 - 4,Mann,Buskerud,296
R05,2004,0 - 4,Mann,Finnmark,63
R05,2004,0 - 4,Mann,Hedmark,227
R05,2004,0 - 4,Mann,Hordaland,528
R05,2004,0 - 4,Mann,Møre og Romsdal,216
R05,2004,0 - 4,Mann,Nordland,176
R05,2004,0 - 4,Mann,Oppland,127
R05,2004,0 - 4,Mann,Oslo,723
R05,2004,0 - 4,Mann,Rogaland,447
R05,2004,0 - 4,Mann,Sogn og Fjordane,142
R05,2004,0 - 4,Mann,Telemark,110
R05,2004,0 - 4,Mann,Troms,113
R05,2004,0 - 4,Mann,Trøndelag,374
R05,2004,0 - 4,Mann,Vest-Agder,144
R05,2004,0 - 4,Mann,Vestfold,282
R05,2004,0 - 4,Mann,Østfold,326
R05,2004,5 - 9,Kvinne,Hele landet,5109
R05,2004,5 - 9,Kvinne,Helseregion Midt-Norge,627
R05,2004,5 - 9,Kvinne,Helseregion Nord-Norge,366
R05,2004,5 - 9,Kvinne,Helseregion Sør-Øst,2910
R05,2004,5 - 9,Kvinne,Helseregion Vest,1206
R05,2004,5 - 9,Kvinne,Akershus,566
R05,2004,5 - 9,Kvinne,Aust-Agder,120
R05,2004,5 - 9,Kvinne,Buskerud,262
R05,2004,5 - 9,Kvinne,Finnmark,58
R05,2004,5 - 9,Kvinne,Hedmark,211
R05,2004,5 - 9,Kvinne,Hordaland,531
R05,2004,5 - 9,Kvinne,Møre og Romsdal,268
R05,2004,5 - 9,Kvinne,Nordland,193
R05,2004,5 - 9,Kvinne,Oppland,188
R05,2004,5 - 9,Kvinne,Oslo,600
R05,2004,5 - 9,Kvinne,Rogaland,523
R05,2004,5 - 9,Kvinne,Sogn og Fjordane,152
R05,2004,5 - 9,Kvinne,Telemark,135
R05,2004,5 - 9,Kvinne,Troms,115
R05,2004,5 - 9,Kvinne,Trøndelag,359
R05,2004,5 - 9,Kvinne,Vest-Agder,213
R05,2004,5 - 9,Kvinne,Vestfold,292
R05,2004,5 - 9,Kvinne,Østfold,323
R05,2004,5 - 9,Mann,Hele landet,4984
R05,2004,5 - 9,Mann,Helseregion Midt-Norge,634
R05,2004,5 - 9,Mann,Helseregion Nord-Norge,354
R05,2004,5 - 9,Mann,Helseregion Sør-Øst,2848
R05,2004,5 - 9,Mann,Helseregion Vest,1148
R05,2004,5 - 9,Mann,Akershus,607
R05,2004,5 - 9,Mann,Aust-Agder,104
R05,2004,5 - 9,Mann,Buskerud,254
R05,2004,5 - 9,Mann,Finnmark,63
R05,2004,5 - 9,Mann,Hedmark,222
R05,2004,5 - 9,Mann,Hordaland,516
R05,2004,5 - 9,Mann,Møre og Romsdal,274
R05,2004,5 - 9,Mann,Nordland,178
R05,2004,5 - 9,Mann,Oppland,177
R05,2004,5 - 9,Mann,Oslo,667
R05,2004,5 - 9,Mann,Rogaland,508
R05,2004,5 - 9,Mann,Sogn og Fjordane,124
